,VALLEY VIEW UNIVERSITY,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
71,D. Martin,BBIS 338 Enterprise Systems,3,CS Lab,M,10:00am - 12:30pm
72,,,,,,
73,S. Yao Sebuabe,COSC 331 Computer Graphics I,3,CS Lab,T,2:00pm - 4:30pm
74,S. Yao Sebuabe,INFT 232 Computer Hardware and Maintenance,3,CS Lab,W,7:00am - 9:30am
75,S. Yao Sebuabe,"COSC 224 Object-Oriented Programming [IT, BIS, BEIT]",3,CS2,M,7:00am - 9:30am
76,,,,,,
77,,,,,,
78,Dr. G. Biney,MATH 111 College Algebra & Trigonometry [Sec A],3,MET 101,T,7:00am - 9:30am
79,Dr. G. Biney,MATH 141 Algebra,3,CS2,W,7:00am - 9:30am
80,Dr. G. Biney,MATH 181 Business Mathematics,3,BR2,TH,10:00am - 12:30pm
81,Dr. G. Biney,BSAD 330 Quantitative Methods for Business Decision,3,BR6,W,10:00am - 12:30pm
82,Dr. G. Biney,STAT 101 Introduction to Statistics,3,CH3-3,W,2:00pm - 4:30pm
83,,,,,,
84,Dr. Louis Asiedu,MATH 211 Calculus II [Sec A],3,MET 101,M,7:00am - 9:30am
85,Dr. Louis Asiedu,MATH 311 Probability and Statistics [Sec A],3,MET 101,W,7:00am - 9:30am
86,,,,,,
87,Dr. A. Adu Sackey,MATH 182 Introductory Calculus,3,BR2,F,7:00am - 9:30am
88,Dr. A. Adu Sackey,COSC 210 Numerical Methods,3,CS2,T,2:00pm - 4:30pm
89,,,,,,
90,O. Osei Tutu,MATH 120 General Mathematics [Sec A],3,CH3-1,TH,7:00am - 9:30am
91,O. Osei Tutu,MATH 120 General Mathematics [HAC Sec A],3,BR3,TH,4:00pm - 6:30pm
92,O. Osei Tutu,MATH 120 General Mathematics [EVE Sec A],3,CH3-1,W,7:00pm - 9:30pm
93,O. Osei Tutu,MATH 121 College Algebra,3,GS1&2,TH,10:00am - 12:30pm
94,O. Osei Tutu,MATH 282 Introduction to Statistics and Probability,3,CS2,T,10:00am - 12:30pm
95,O. Osei Tutu,MATH 101 Algebra and Trigonometry,3,CH3-3,W,10:00am - 12:30pm
